secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag
108105,2019-04-16,SPX 190418C1000000,1,2019-04-18,2019-04-10,C,1000000,1904.5,1907.1,0,23036,,,,,,127261868,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1100000,1,2019-04-18,,C,1100000,1804.5,1807.1,0,0,,,,,,127261869,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1200000,1,2019-04-18,,C,1200000,1704.6,1707.2,0,0,,,,,,127261870,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1225000,1,2019-04-18,,C,1225000,1679.6,1682.2,0,0,,,,,,127261871,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1250000,1,2019-04-18,,C,1250000,1654.6,1657.2,0,0,,,,,,127261872,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1275000,1,2019-04-18,,C,1275000,1629.6,1632.2,0,0,,,,,,127261873,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1300000,1,2019-04-18,,C,1300000,1604.6,1607.2,0,0,,,,,,127261874,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1325000,1,2019-04-18,,C,1325000,1579.6,1582.2,0,0,,,,,,127261875,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1350000,1,2019-04-18,,C,1350000,1554.6,1557.2,0,0,,,,,,127261876,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1375000,1,2019-04-18,,C,1375000,1529.6,1532.2,0,0,,,,,,127261877,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1400000,1,2019-04-18,2019-04-03,C,1400000,1504.6,1507.2,0,4,,,,,,127261878,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1425000,1,2019-04-18,,C,1425000,1479.6,1482.3,0,0,,,,,,127261879,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1450000,1,2019-04-18,,C,1450000,1454.7,1457.3,0,0,,,,,,127261880,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1475000,1,2019-04-18,,C,1475000,1429.7,1432.3,0,0,,,,,,127261881,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1500000,1,2019-04-18,2019-02-15,C,1500000,1404.7,1407.3,0,1,,,,,,127261882,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1525000,1,2019-04-18,,C,1525000,1379.7,1382.3,0,0,,,,,,127261883,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1550000,1,2019-04-18,,C,1550000,1354.7,1357.3,0,0,,,,,,127261884,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1575000,1,2019-04-18,2019-03-20,C,1575000,1329.7,1332.3,0,30,,,,,,127261885,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1600000,1,2019-04-18,,C,1600000,1304.7,1307.3,0,0,,,,,,127261886,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1625000,1,2019-04-18,,C,1625000,1279.7,1282.3,0,0,,,,,,127261887,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1650000,1,2019-04-18,,C,1650000,1254.7,1257.3,0,0,,,,,,127261888,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1660000,1,2019-04-18,2019-01-07,C,1660000,1244.7,1247.3,0,1,,,,,,127294209,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1670000,1,2019-04-18,,C,1670000,1234.7,1237.3,0,0,,,,,,127294210,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1675000,1,2019-04-18,2019-01-07,C,1675000,1229.7,1232.3,0,1,,,,,,127261889,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1680000,1,2019-04-18,,C,1680000,1224.7,1227.3,0,0,,,,,,127294211,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1690000,1,2019-04-18,,C,1690000,1214.7,1217.3,0,0,,,,,,127294212,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1700000,1,2019-04-18,2019-01-30,C,1700000,1204.7,1207.4,0,1,,,,,,127261890,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1710000,1,2019-04-18,,C,1710000,1194.7,1197.4,0,0,,,,,,127261891,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1720000,1,2019-04-18,,C,1720000,1184.8,1187.4,0,0,,,,,,127261892,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1725000,1,2019-04-18,,C,1725000,1179.8,1182.4,0,0,,,,,,127261893,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1730000,1,2019-04-18,,C,1730000,1174.8,1177.4,0,0,,,,,,127261894,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1740000,1,2019-04-18,,C,1740000,1164.8,1167.4,0,0,,,,,,127261895,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1750000,1,2019-04-18,,C,1750000,1154.8,1157.4,0,0,,,,,,127261896,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1760000,1,2019-04-18,,C,1760000,1144.8,1147.4,0,0,,,,,,127261897,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1770000,1,2019-04-18,,C,1770000,1134.8,1137.4,0,0,,,,,,127261898,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1775000,1,2019-04-18,,C,1775000,1129.8,1132.4,0,0,,,,,,127261899,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1780000,1,2019-04-18,,C,1780000,1124.8,1127.4,0,0,,,,,,127261900,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1790000,1,2019-04-18,,C,1790000,1114.8,1117.4,0,0,,,,,,127261901,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1800000,1,2019-04-18,2019-04-16,C,1800000,1104.8,1107.4,1,1,,,,,,127261902,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1810000,1,2019-04-18,,C,1810000,1094.8,1097.4,0,0,,,,,,127261903,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1820000,1,2019-04-18,,C,1820000,1084.8,1087.4,0,0,,,,,,127261904,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1825000,1,2019-04-18,,C,1825000,1079.8,1082.4,0,0,,,,,,127261905,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1830000,1,2019-04-18,,C,1830000,1074.8,1077.4,0,0,,,,,,127261906,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1840000,1,2019-04-18,,C,1840000,1064.8,1067.4,0,0,,,,,,127261907,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1850000,1,2019-04-18,,C,1850000,1054.8,1057.4,0,0,,,,,,127261908,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1860000,1,2019-04-18,,C,1860000,1044.8,1047.4,0,0,,,,,,127261909,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1870000,1,2019-04-18,,C,1870000,1034.8,1037.4,0,0,,,,,,127261910,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1875000,1,2019-04-18,,C,1875000,1029.8,1032.4,0,0,,,,,,127261911,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1880000,1,2019-04-18,,C,1880000,1024.8,1027.4,0,0,,,,,,127261912,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1885000,1,2019-04-18,,C,1885000,1019.8,1022.4,0,0,,,,,,127294213,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-04-16,SPX 190418C1890000,1,2019-04-18,,C,1890000,1014.8,1017.4,0,0,,,,,,127261913,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
