secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag
108105,2019-02-19,SPX 190315C1000000,1,2019-03-15,2019-02-19,C,1000000,1774.4,1777.5,250,49186,,,,,,124048511,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1050000,1,2019-03-15,,C,1050000,1724.5,1727.6,0,0,,,,,,127830587,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1100000,1,2019-03-15,2019-01-23,C,1100000,1674.6,1677.7,0,6585,,,,,,118526811,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1150000,1,2019-03-15,2019-02-07,C,1150000,1624.7,1627.8,0,200,,,,,,127830588,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1200000,1,2019-03-15,2019-02-05,C,1200000,1574.8,1577.9,0,1136,,,,,,118526812,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1225000,1,2019-03-15,,C,1225000,1549.8,1552.9,0,0,,,,,,127261854,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1250000,1,2019-03-15,,C,1250000,1524.9,1528.0,0,0,,,,,,118526813,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1275000,1,2019-03-15,,C,1275000,1499.9,1503.0,0,0,,,,,,127126674,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1300000,1,2019-03-15,2018-12-20,C,1300000,1475.0,1478.1,0,9,,,,,,118526814,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1325000,1,2019-03-15,,C,1325000,1450.0,1453.1,0,0,,,,,,119850198,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1350000,1,2019-03-15,,C,1350000,1425.1,1428.2,0,0,,,,,,118526815,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1375000,1,2019-03-15,,C,1375000,1400.1,1403.2,0,0,,,,,,118526816,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1400000,1,2019-03-15,2019-02-15,C,1400000,1375.1,1378.3,0,27,,,,,,118526817,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1425000,1,2019-03-15,,C,1425000,1350.2,1353.3,0,0,,,,,,118526818,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1450000,1,2019-03-15,,C,1450000,1325.2,1328.4,0,0,,,,,,118526819,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1475000,1,2019-03-15,,C,1475000,1300.3,1303.4,0,0,,,,,,118526820,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1500000,1,2019-03-15,2019-02-15,C,1500000,1275.3,1278.5,0,14,,,,,,118526821,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1525000,1,2019-03-15,,C,1525000,1250.4,1253.5,0,0,,,,,,118526822,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1550000,1,2019-03-15,,C,1550000,1225.4,1228.6,0,0,,,,,,118526823,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-19,SPX 190315C1575000,1,2019-03-15,2018-12-20,C,1575000,1200.5,1203.6,0,4,,,,,,118526824,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
