secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag
108105,2019-01-11,SPX 190118C1000000,1,2019-01-18,2019-01-10,C,1000000,1592.1,1595.6,0,37037,,,,,,121564922,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1025000,1,2019-01-18,,C,1025000,1567.1,1570.4,0,0,,,,,,127117395,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1050000,1,2019-01-18,,C,1050000,1542.3,1545.4,0,0,,,,,,127111810,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1075000,1,2019-01-18,,C,1075000,1517.3,1520.4,0,0,,,,,,127117396,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1100000,1,2019-01-18,2018-08-30,C,1100000,1492.2,1495.5,0,840,,,,,,117411005,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1125000,1,2019-01-18,,C,1125000,1467.3,1470.5,0,0,,,,,,127117397,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1150000,1,2019-01-18,,C,1150000,1442.3,1445.5,0,0,,,,,,117411006,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1175000,1,2019-01-18,,C,1175000,1417.3,1420.5,0,0,,,,,,127117398,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1200000,1,2019-01-18,,C,1200000,1392.2,1395.5,0,0,,,,,,117411007,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1225000,1,2019-01-18,2018-12-21,C,1225000,1367.4,1370.5,0,14,,,,,,127117399,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1250000,1,2019-01-18,,C,1250000,1342.4,1345.5,0,0,,,,,,117411008,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1275000,1,2019-01-18,,C,1275000,1317.4,1320.5,0,0,,,,,,117411009,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1300000,1,2019-01-18,2018-08-31,C,1300000,1292.3,1295.6,0,228,,,,,,117411010,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1325000,1,2019-01-18,2018-08-10,C,1325000,1267.4,1270.6,0,9,,,,,,117411011,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1350000,1,2019-01-18,,C,1350000,1242.4,1245.6,0,0,,,,,,117411012,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1375000,1,2019-01-18,,C,1375000,1217.3,1220.6,0,0,,,,,,117411013,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1400000,1,2019-01-18,2018-12-21,C,1400000,1192.5,1195.6,0,12,,,,,,117411014,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1425000,1,2019-01-18,,C,1425000,1167.5,1170.6,0,0,,,,,,117411015,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-11,SPX 190118C1450000,1,2019-01-18,,C,1450000,1142.4,1145.6,0,0,,,,,,117411016,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
