secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag
108105,2019-06-11,SPX 190621C1000000,1,2019-06-21,2019-06-10,C,1000000,1883.0,1885.9,0,39388,,,,,,116364713,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1100000,1,2019-06-21,2019-03-06,C,1100000,1783.1,1786.0,0,256,,,,,,116364714,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1150000,1,2019-06-21,,C,1150000,1733.2,1736.1,0,0,,,,,,116364715,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1200000,1,2019-06-21,,C,1200000,1683.2,1686.1,0,0,,,,,,116364716,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1225000,1,2019-06-21,,C,1225000,1658.2,1661.1,0,0,,,,,,116364717,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1250000,1,2019-06-21,,C,1250000,1633.2,1636.1,0,0,,,,,,116364718,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1275000,1,2019-06-21,,C,1275000,1608.3,1611.2,0,0,,,,,,116364719,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1300000,1,2019-06-21,2019-01-28,C,1300000,1583.3,1586.2,0,76,,,,,,116364720,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1325000,1,2019-06-21,2019-03-14,C,1325000,1558.3,1561.2,0,9,,,,,,116364721,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1350000,1,2019-06-21,,C,1350000,1533.3,1536.2,0,0,,,,,,116364722,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1375000,1,2019-06-21,2017-08-21,C,1375000,1508.4,1511.2,0,4,,,,,,116364723,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1400000,1,2019-06-21,2019-05-15,C,1400000,1483.4,1486.3,0,7,,,,,,116364724,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1425000,1,2019-06-21,,C,1425000,1458.4,1461.3,0,0,,,,,,116364725,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1450000,1,2019-06-21,,C,1450000,1433.4,1436.3,0,0,,,,,,116364726,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1475000,1,2019-06-21,,C,1475000,1408.4,1411.3,0,0,,,,,,116364727,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1500000,1,2019-06-21,2019-05-31,C,1500000,1383.5,1386.3,0,207,,,,,,116364728,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1525000,1,2019-06-21,2019-05-06,C,1525000,1358.5,1361.4,0,17,,,,,,116364729,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1550000,1,2019-06-21,2018-05-09,C,1550000,1333.5,1336.4,0,1,,,,,,116364730,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1575000,1,2019-06-21,2019-05-06,C,1575000,1308.5,1311.4,0,6,,,,,,116364731,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1600000,1,2019-06-21,2019-03-14,C,1600000,1283.6,1286.4,0,13,,,,,,116364732,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1625000,1,2019-06-21,2019-03-18,C,1625000,1258.6,1261.5,0,18,,,,,,116364733,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1650000,1,2019-06-21,2018-06-01,C,1650000,1233.6,1236.5,0,4,,,,,,116364734,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1675000,1,2019-06-21,2018-06-18,C,1675000,1208.6,1211.5,0,5,,,,,,116364735,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1700000,1,2019-06-21,2019-01-04,C,1700000,1183.6,1186.5,0,101,,,,,,116364736,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1725000,1,2019-06-21,2018-12-26,C,1725000,1158.7,1161.6,0,9,,,,,,116364737,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1750000,1,2019-06-21,2018-12-26,C,1750000,1133.7,1136.6,0,9,,,,,,116364738,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1775000,1,2019-06-21,2017-11-07,C,1775000,1108.7,1111.6,0,18,,,,,,116364739,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1800000,1,2019-06-21,2019-04-24,C,1800000,1083.7,1086.6,0,59,,,,,,116364740,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1825000,1,2019-06-21,2019-03-13,C,1825000,1058.8,1061.6,0,21,,,,,,116364741,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1850000,1,2019-06-21,2019-02-11,C,1850000,1033.8,1036.7,0,21,,,,,,116364742,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1875000,1,2019-06-21,2017-11-07,C,1875000,1008.8,1011.7,0,18,,,,,,116364743,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1900000,1,2019-06-21,2019-06-11,C,1900000,983.8,986.7,12,1006,,,,,,116364744,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-06-11,SPX 190621C1920000,1,2019-06-21,,C,1920000,963.9,966.7,0,0,,,,,,128192162,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
