secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag
108105,2019-05-29,SPX 190621C1000000,1,2019-06-21,2019-05-29,C,1000000,1780.7,1783.4,450,39263,1.581346,0.996508,7e-06,4.946325,-35.02658,116364713,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-05-29,SPX 190621C1100000,1,2019-06-21,2019-03-06,C,1100000,1680.8,1683.7,0,256,1.45085,0.99615,8e-06,5.634637,-40.39735,116364714,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-05-29,SPX 190621C1150000,1,2019-06-21,,C,1150000,1630.9,1633.8,0,0,1.389616,0.995954,9e-06,6.004838,-43.02304,116364715,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-05-29,SPX 190621C1200000,1,2019-06-21,,C,1200000,1580.9,1583.9,0,0,1.32276,0.99588,1e-05,6.143612,-42.43872,116364716,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-05-29,SPX 190621C1225000,1,2019-06-21,,C,1225000,1556.0,1558.9,0,0,1.294384,0.995775,1e-05,6.341921,-43.73199,116364717,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-05-29,SPX 190621C1250000,1,2019-06-21,,C,1250000,1531.0,1534.0,0,0,1.266512,0.995666,1.1e-05,6.545507,-45.01464,116364718,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-05-29,SPX 190621C1275000,1,2019-06-21,,C,1275000,1506.1,1509.0,0,0,1.239124,0.995554,1.2e-05,6.754577,-46.28654,116364719,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-05-29,SPX 190621C1300000,1,2019-06-21,2019-01-28,C,1300000,1481.1,1484.1,0,76,1.212198,0.995438,1.2e-05,6.969354,-47.5475,116364720,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-05-29,SPX 190621C1325000,1,2019-06-21,2019-03-14,C,1325000,1456.2,1459.1,0,9,1.185717,0.995318,1.3e-05,7.190072,-48.79737,116364721,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-05-29,SPX 190621C1350000,1,2019-06-21,,C,1350000,1431.2,1434.1,0,0,1.152789,0.995347,1.3e-05,7.136745,-46.93662,116364722,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
