secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag
108105,2019-02-27,SPX 190315C1000000,1,2019-03-15,2019-02-27,C,1000000,1788.7,1791.8,500,49746,,,,,,124048511,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1050000,1,2019-03-15,,C,1050000,1738.7,1741.8,0,0,,,,,,127830587,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1100000,1,2019-03-15,2019-01-23,C,1100000,1688.8,1691.9,0,6585,,,,,,118526811,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1150000,1,2019-03-15,2019-02-07,C,1150000,1638.8,1641.9,0,200,,,,,,127830588,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1200000,1,2019-03-15,2019-02-05,C,1200000,1588.9,1592.0,0,1136,,,,,,118526812,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1225000,1,2019-03-15,,C,1225000,1563.9,1567.0,0,0,,,,,,127261854,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1250000,1,2019-03-15,,C,1250000,1539.0,1542.1,0,0,,,,,,118526813,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1275000,1,2019-03-15,,C,1275000,1514.0,1517.1,0,0,,,,,,127126674,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1300000,1,2019-03-15,2018-12-20,C,1300000,1489.0,1492.1,0,9,,,,,,118526814,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1325000,1,2019-03-15,,C,1325000,1464.1,1467.2,0,0,,,,,,119850198,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1350000,1,2019-03-15,,C,1350000,1439.1,1442.2,0,0,,,,,,118526815,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1375000,1,2019-03-15,,C,1375000,1414.1,1417.2,0,0,,,,,,118526816,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1400000,1,2019-03-15,2019-02-15,C,1400000,1389.2,1392.3,0,27,,,,,,118526817,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1425000,1,2019-03-15,,C,1425000,1364.2,1367.3,0,0,,,,,,118526818,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1450000,1,2019-03-15,,C,1450000,1339.2,1342.3,0,0,,,,,,118526819,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1475000,1,2019-03-15,,C,1475000,1314.3,1317.4,0,0,,,,,,118526820,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1500000,1,2019-03-15,2019-02-20,C,1500000,1289.3,1292.4,0,14,,,,,,118526821,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1525000,1,2019-03-15,,C,1525000,1264.3,1267.4,0,0,,,,,,118526822,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1550000,1,2019-03-15,,C,1550000,1239.4,1242.5,0,0,,,,,,118526823,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-02-27,SPX 190315C1575000,1,2019-03-15,2018-12-20,C,1575000,1214.4,1217.5,0,4,,,,,,118526824,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
