secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag
108105,2019-01-15,SPX 190118C1000000,1,2019-01-18,2019-01-15,C,1000000,1606.7,1609.8,1500,36737,,,,,,121564922,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1025000,1,2019-01-18,,C,1025000,1581.7,1584.5,0,0,,,,,,127117395,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1050000,1,2019-01-18,,C,1050000,1556.7,1559.8,0,0,,,,,,127111810,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1075000,1,2019-01-18,,C,1075000,1531.8,1534.9,0,0,,,,,,127117396,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1100000,1,2019-01-18,2018-08-30,C,1100000,1506.8,1509.8,0,840,,,,,,117411005,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1125000,1,2019-01-18,,C,1125000,1481.8,1484.9,0,0,,,,,,127117397,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1150000,1,2019-01-18,,C,1150000,1456.8,1459.9,0,0,,,,,,117411006,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1175000,1,2019-01-18,,C,1175000,1431.8,1434.9,0,0,,,,,,127117398,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1200000,1,2019-01-18,,C,1200000,1406.8,1409.8,0,0,,,,,,117411007,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1225000,1,2019-01-18,2018-12-21,C,1225000,1381.8,1384.8,0,14,,,,,,127117399,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1250000,1,2019-01-18,,C,1250000,1356.8,1359.9,0,0,,,,,,117411008,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1275000,1,2019-01-18,,C,1275000,1331.8,1334.9,0,0,,,,,,117411009,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1300000,1,2019-01-18,2018-08-31,C,1300000,1306.8,1309.9,0,228,,,,,,117411010,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1325000,1,2019-01-18,2018-08-10,C,1325000,1281.8,1284.9,0,9,,,,,,117411011,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1350000,1,2019-01-18,,C,1350000,1256.8,1259.6,0,0,,,,,,117411012,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2019-01-15,SPX 190118C1375000,1,2019-01-18,,C,1375000,1231.8,1234.9,0,0,,,,,,117411013,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
